"dgp","n","rep","model","auc","logloss","acc","t_fit"
"ringnorm",500,2,"ranger",0.979700854700855,0.309880856162075,0.933333333333333,0.059758186340332
"waveform",500,2,"ares",0.905804585829374,0.827672234688096,0.813333333333333,0.0294392108917236
"waveform",500,2,"earth",0.894856434620946,0.476860954656319,0.833333333333333,0.00895094871520996
"waveform",500,2,"ranger",0.936583350547408,0.344149269674885,0.88,0.050137996673584
"twonorm",1500,2,"ares",0.997056731984829,0.0624876245922296,0.982222222222222,0.0779190063476562
"twonorm",1500,2,"earth",0.972364886219975,0.231808463978056,0.913333333333333,0.019251823425293
"twonorm",1500,2,"ranger",0.997115992414665,0.240551562143271,0.971111111111111,0.208530902862549
"threenorm",1500,2,"ares",0.910254637403449,0.385670416262698,0.826666666666667,0.0688667297363281
"threenorm",1500,2,"earth",0.850615357262796,0.482652633227602,0.773333333333333,0.019871711730957
"threenorm",1500,2,"ranger",0.94146698010707,0.422353761015775,0.866666666666667,0.273954391479492
"ringnorm",1500,2,"ares",0.994350617283951,0.118541568893328,0.966666666666667,0.073244571685791
"ringnorm",1500,2,"earth",0.969283950617284,0.219342357743447,0.922222222222222,0.0243098735809326
"ringnorm",1500,2,"ranger",0.993066666666667,0.235313082300472,0.94,0.264088869094849
"waveform",1500,2,"ares",0.932752123793173,0.33240980252114,0.877777777777778,0.0805237293243408
"waveform",1500,2,"earth",0.929697429151152,0.320668596242936,0.86,0.0199053287506104
"waveform",1500,2,"ranger",0.940199335548173,0.316551439188303,0.868888888888889,0.215301513671875
"twonorm",500,3,"ares",0.950854700854701,1.48929538145693,0.94,0.0305664539337158
"twonorm",500,3,"earth",0.977742165242165,0.197962697191835,0.933333333333333,0.00816750526428223
"twonorm",500,3,"ranger",0.996616809116809,0.263113720578311,0.973333333333333,0.0488045215606689
"threenorm",500,3,"ares",0.89125,0.464817507670751,0.813333333333333,0.0244941711425781
"threenorm",500,3,"earth",0.833571428571429,0.543654335091955,0.753333333333333,0.00821423530578613
"threenorm",500,3,"ranger",0.93125,0.453980548032131,0.853333333333333,0.0604760646820068
"ringnorm",500,3,"ares",0.95773988005997,1.99978414653481,0.913333333333333,0.0289981365203857
"ringnorm",500,3,"earth",0.94527736131934,0.430101768893072,0.84,0.0122802257537842
"ringnorm",500,3,"ranger",0.982008995502249,0.330855160434944,0.906666666666667,0.0610785484313965
"waveform",500,3,"ares",0.915133779264214,0.472717952321315,0.886666666666667,0.0287785530090332
"waveform",500,3,"earth",0.915969899665552,0.460678226819676,0.86,0.00861620903015137
"waveform",500,3,"ranger",0.94126254180602,0.317512795039471,0.86,0.059276819229126
"twonorm",1500,3,"ares",0.996345390253057,0.0843630805183172,0.975555555555556,0.067502498626709
"twonorm",1500,3,"earth",0.964915746429348,0.254293753999261,0.902222222222222,0.0168743133544922
"twonorm",1500,3,"ranger",0.995120602121649,0.248578672411885,0.966666666666667,0.210182905197144
"threenorm",1500,3,"ares",0.935918988944048,0.328166436215923,0.851111111111111,0.0666751861572266
"threenorm",1500,3,"earth",0.862819168924665,0.466753414057642,0.78,0.0209276676177979
"threenorm",1500,3,"ranger",0.946342042285556,0.403542613625349,0.875555555555556,0.277061700820923
"ringnorm",1500,3,"ares",0.997826473552135,0.0726305252011688,0.973333333333333,0.0738358497619629
"ringnorm",1500,3,"earth",0.986860044656089,0.136371964553466,0.955555555555556,0.0223228931427002
"ringnorm",1500,3,"ranger",0.991898674148867,0.229556373573988,0.935555555555556,0.273588180541992
"waveform",1500,3,"ares",0.933645405356862,0.373284062935979,0.873333333333333,0.0894999504089355
"waveform",1500,3,"earth",0.940784894816012,0.351169095987209,0.886666666666667,0.0279500484466553
"waveform",1500,3,"ranger",0.953593318515525,0.298313660348217,0.877777777777778,0.20694375038147
"twonorm",500,4,"ares",0.938629450706745,1.93357999335315,0.92,0.0305464267730713
